ID_MUESTRA,ID_MUESTRA_FISICA,TIPO_MUESTRA,LOTE,ID_ESPECIE,TIPO_CULTIVO,PARTE_ESTUDIADA,ORIGEN_GEOGRAFICO,EXPOSICION_LUZ,ESTADIO_MADUREZ,METODO_EXTRACCION,SOLVENTE_EXTRACCION,MODO_IONIZACION,COLUMNA_CROMATOGRAFICA
MB_53_B-2_3_NEG,MB_53_B-2_3,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra B (Alto Pano), Napo, Ecuador",Sombra,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_54_C+2_2_NEG,MB_54_C+2_2,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",Luz,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_4_B_NEG,GC_4_B,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra B (Alto Pano), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_4_2_NEG,GC_4_2,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_4_-_NEG,GC_4_-,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",Sombra,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_4_0_NEG,GC_4_0,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_4_A_NEG,GC_4_A,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_4_C_NEG,GC_4_C,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
POOLED_QC_13_NEG,POOLED_QC_13,QC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Pool de las 3 chakras (Talag, Alto Pano, Alto Tena), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_4_1_NEG,GC_4_1,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_4_+_NEG,GC_4_+,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",Luz,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
POOLED_QC_14_NEG,POOLED_QC_14,QC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Pool de las 3 chakras (Talag, Alto Pano, Alto Tena), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
POOLED_QC_1_NEG,POOLED_QC_1,QC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Pool de las 3 chakras (Talag, Alto Pano, Alto Tena), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_1_A_NEG,GC_1_A,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
POOLED_QC_2_NEG,POOLED_QC_2,QC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Pool de las 3 chakras (Talag, Alto Pano, Alto Tena), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_1_+_NEG,GC_1_+,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",Luz,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_1_1_NEG,GC_1_1,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_1_2_NEG,GC_1_2,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_1_C_NEG,GC_1_C,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_1_B_NEG,GC_1_B,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra B (Alto Pano), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_1_-_NEG,GC_1_-,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",Sombra,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_1_0_NEG,GC_1_0,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Napo, Ecuador (chakra no controlada en este pool)",,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_1_C-0_1_NEG,MB_1_C-0_1,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",Sombra,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_2_C-2_1_NEG,MB_2_C-2_1,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",Sombra,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_3_A+2_1_NEG,MB_3_A+2_1,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Luz,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_4_B+1_2_NEG,MB_4_B+1_2,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra B (Alto Pano), Napo, Ecuador",Luz,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_5_A+1_1_NEG,MB_5_A+1_1,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Luz,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
