ID_MUESTRA_FISICA,ACTIVIDAD_BIOLOGICA,VALOR_RESULTADO
100_MB_53_B-2_3,antioxidante,
100_MB_53_B-2_3,antiinflamatorio,
101_MB_54_C+2_2,antioxidante,
101_MB_54_C+2_2,antiinflamatorio,
22_MB_1_C-0_1,antioxidante,
22_MB_1_C-0_1,antiinflamatorio,
23_MB_2_C-2_1,antioxidante,
23_MB_2_C-2_1,antiinflamatorio,
24_MB_3_A+2_1,antioxidante,
24_MB_3_A+2_1,antiinflamatorio,
25_MB_4_B+1_2,antioxidante,
25_MB_4_B+1_2,antiinflamatorio,
26_MB_5_A+1_1,antioxidante,
26_MB_5_A+1_1,antiinflamatorio,
28_MB_6_A-0_1,antioxidante,
28_MB_6_A-0_1,antiinflamatorio,
29_MB_7_C+2_3,antioxidante,
29_MB_7_C+2_3,antiinflamatorio,
30_MB_8_B+0_2,antioxidante,
30_MB_8_B+0_2,antiinflamatorio,
31_MB_9_C-0_2,antioxidante,
31_MB_9_C-0_2,antiinflamatorio,
32_MB_10_A+2_2,antioxidante,
32_MB_10_A+2_2,antiinflamatorio,
34_MB_11_A-1_1,antioxidante,
34_MB_11_A-1_1,antiinflamatorio,
35_MB_12_A+2_3,antioxidante,
35_MB_12_A+2_3,antiinflamatorio,
36_MB_13_A+0_1,antioxidante,
36_MB_13_A+0_1,antiinflamatorio,
37_MB_14_C-0_3,antioxidante,
37_MB_14_C-0_3,antiinflamatorio,
38_MB_15_B+0_3,antioxidante,
38_MB_15_B+0_3,antiinflamatorio,
48_MB_16_A+0_2,antioxidante,
48_MB_16_A+0_2,antiinflamatorio,
49_MB_17_B+2_3,antioxidante,
49_MB_17_B+2_3,antiinflamatorio,
50_MB_18_A-1_2,antioxidante,
50_MB_18_A-1_2,antiinflamatorio,
51_MB_19_C-2_2,antioxidante,
51_MB_19_C-2_2,antiinflamatorio,
52_MB_20_C+0_1,antioxidante,
52_MB_20_C+0_1,antiinflamatorio,
54_MB_21_C-2_3,antioxidante,
54_MB_21_C-2_3,antiinflamatorio,
55_MB_22_C-1_1,antioxidante,
55_MB_22_C-1_1,antiinflamatorio,
56_MB_23_B+1_3,antioxidante,
56_MB_23_B+1_3,antiinflamatorio,
57_MB_24_A+1_2,antioxidante,
57_MB_24_A+1_2,antiinflamatorio,
58_MB_25_B-0_3,antioxidante,
58_MB_25_B-0_3,antiinflamatorio,
60_MB_26_A+1_3,antioxidante,
60_MB_26_A+1_3,antiinflamatorio,
61_MB_27_A-2_3,antioxidante,
61_MB_27_A-2_3,antiinflamatorio,
62_MB_28_B+2_1,antioxidante,
62_MB_28_B+2_1,antiinflamatorio,
63_MB_29_C+2_1,antioxidante,
63_MB_29_C+2_1,antiinflamatorio,
64_MB_30_B-1_1,antioxidante,
64_MB_30_B-1_1,antiinflamatorio,
74_MB_31_A-2_1,antioxidante,
74_MB_31_A-2_1,antiinflamatorio,
75_MB_32_B+2_2,antioxidante,
75_MB_32_B+2_2,antiinflamatorio,
76_MB_33_C+0_2,antioxidante,
76_MB_33_C+0_2,antiinflamatorio,
77_MB_34_B-1_2,antioxidante,
77_MB_34_B-1_2,antiinflamatorio,
78_MB_35_A-1_3,antioxidante,
78_MB_35_A-1_3,antiinflamatorio,
80_MB_36_A+0_3,antioxidante,
80_MB_36_A+0_3,antiinflamatorio,
81_MB_37_B-1_3,antioxidante,
81_MB_37_B-1_3,antiinflamatorio,
82_MB_38_C+1_2,antioxidante,
82_MB_38_C+1_2,antiinflamatorio,
83_MB_39_B+0_1,antioxidante,
83_MB_39_B+0_1,antiinflamatorio,
84_MB_40_A-0_2,antioxidante,
84_MB_40_A-0_2,antiinflamatorio,
86_MB_41_B+1_1,antioxidante,
86_MB_41_B+1_1,antiinflamatorio,
87_MB_42_C-1_2,antioxidante,
87_MB_42_C-1_2,antiinflamatorio,
88_MB_43_B-2_1,antioxidante,
88_MB_43_B-2_1,antiinflamatorio,
89_MB_44_C+1_3,antioxidante,
89_MB_44_C+1_3,antiinflamatorio,
90_MB_45_B-0_1,antioxidante,
90_MB_45_B-0_1,antiinflamatorio,
92_MB_46_C-1_3,antioxidante,
92_MB_46_C-1_3,antiinflamatorio,
93_MB_47_C+0_3,antioxidante,
93_MB_47_C+0_3,antiinflamatorio,
94_MB_48_B-0_2,antioxidante,
94_MB_48_B-0_2,antiinflamatorio,
95_MB_49_A-0_3,antioxidante,
95_MB_49_A-0_3,antiinflamatorio,
96_MB_50_B-2_2,antioxidante,
96_MB_50_B-2_2,antiinflamatorio,
98_MB_51_A-2_2,antioxidante,
98_MB_51_A-2_2,antiinflamatorio,
99_MB_52_C+1_1,antioxidante,
99_MB_52_C+1_1,antiinflamatorio,
