ID_MUESTRA,CODIGO_MUESTRA,ID_MUESTRA_FISICA,CODIGO_MUESTRA_FISICA,ID_TIPO_MUESTRA,LOTE,ID_ESPECIE,ID_TIPO_CULTIVO,ID_PARTE_PLANTA,ID_UBICACION,ID_METODO_EXTRACCION,ID_SOLVENTE,MODO_IONIZACION,ID_COLUMNA,VISITA,SECUENCIA_INYECCION
1,100_MB_53_B-2_3_NEG,1,100_MB_53_B-2_3,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,3,100
2,101_MB_54_C+2_2_NEG,2,101_MB_54_C+2_2,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,2,101
3,102_GC_4_B_NEG,3,102_GC_4_B,4,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,4,102
4,103_GC_4_2_NEG,4,103_GC_4_2,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,4,103
5,104_GC_4_-_NEG,5,104_GC_4_-,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,4,104
6,105_GC_4_0_NEG,6,105_GC_4_0,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,4,105
7,106_GC_4_A_NEG,7,106_GC_4_A,4,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,4,106
8,107_GC_4_C_NEG,8,107_GC_4_C,4,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,4,107
9,108_POOLED_QC_13_NEG,9,108_POOLED_QC_13,3,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,13,108
10,109_GC_4_1_NEG,10,109_GC_4_1,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,4,109
11,110_GC_4_+_NEG,11,110_GC_4_+,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,4,110
12,111_POOLED_QC_14_NEG,12,111_POOLED_QC_14,3,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,14,111
13,12_POOLED_QC_1_NEG,13,12_POOLED_QC_1,3,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,1,12
14,13_GC_1_A_NEG,14,13_GC_1_A,4,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,1,13
15,14_POOLED_QC_2_NEG,15,14_POOLED_QC_2,3,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,2,14
16,15_GC_1_+_NEG,16,15_GC_1_+,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,1,15
17,16_GC_1_1_NEG,17,16_GC_1_1,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,1,16
18,17_GC_1_2_NEG,18,17_GC_1_2,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,1,17
19,18_GC_1_C_NEG,19,18_GC_1_C,4,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,1,18
20,19_GC_1_B_NEG,20,19_GC_1_B,4,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,1,19
21,20_GC_1_-_NEG,21,20_GC_1_-,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,1,20
22,21_GC_1_0_NEG,22,21_GC_1_0,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,1,21
23,22_MB_1_C-0_1_NEG,23,22_MB_1_C-0_1,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,1,22
24,23_MB_2_C-2_1_NEG,24,23_MB_2_C-2_1,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,1,23
25,24_MB_3_A+2_1_NEG,25,24_MB_3_A+2_1,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,1,24
26,25_MB_4_B+1_2_NEG,26,25_MB_4_B+1_2,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,2,25
27,26_MB_5_A+1_1_NEG,27,26_MB_5_A+1_1,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,1,26
28,27_POOLED_QC_3_NEG,28,27_POOLED_QC_3,3,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,3,27
29,28_MB_6_A-0_1_NEG,29,28_MB_6_A-0_1,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,1,28
30,29_MB_7_C+2_3_NEG,30,29_MB_7_C+2_3,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,3,29
31,30_MB_8_B+0_2_NEG,31,30_MB_8_B+0_2,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,2,30
32,31_MB_9_C-0_2_NEG,32,31_MB_9_C-0_2,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,2,31
33,32_MB_10_A+2_2_NEG,33,32_MB_10_A+2_2,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,2,32
