ID_MUESTRA,ID_FACTOR,VALOR
1,1,Sombra
1,2,Tardia (8-10 anios)
2,1,Luz
2,2,Tardia (8-10 anios)
4,2,Tardia (8-10 anios)
5,1,Sombra
6,2,Temprana (4-6 anios)
10,2,Media (6-8 anios)
11,1,Luz
16,1,Luz
17,2,Media (6-8 anios)
18,2,Tardia (8-10 anios)
21,1,Sombra
22,2,Temprana (4-6 anios)
23,1,Sombra
23,2,Temprana (4-6 anios)
24,1,Sombra
24,2,Tardia (8-10 anios)
25,1,Luz
25,2,Tardia (8-10 anios)
26,1,Luz
26,2,Media (6-8 anios)
27,1,Luz
27,2,Media (6-8 anios)
29,1,Sombra
29,2,Temprana (4-6 anios)
30,1,Luz
30,2,Tardia (8-10 anios)
31,1,Luz
31,2,Temprana (4-6 anios)
32,1,Sombra
32,2,Temprana (4-6 anios)
33,1,Luz
33,2,Tardia (8-10 anios)
35,1,Sombra
35,2,Media (6-8 anios)
36,1,Luz
36,2,Tardia (8-10 anios)
37,1,Luz
37,2,Temprana (4-6 anios)
38,1,Sombra
38,2,Temprana (4-6 anios)
39,1,Luz
39,2,Temprana (4-6 anios)
42,2,Media (6-8 anios)
43,2,Temprana (4-6 anios)
46,1,Luz
47,1,Sombra
48,2,Tardia (8-10 anios)
49,1,Luz
49,2,Temprana (4-6 anios)
50,1,Luz
50,2,Tardia (8-10 anios)
51,1,Sombra
51,2,Media (6-8 anios)
52,1,Sombra
52,2,Tardia (8-10 anios)
53,1,Luz
53,2,Temprana (4-6 anios)
55,1,Sombra
55,2,Tardia (8-10 anios)
56,1,Sombra
56,2,Media (6-8 anios)
57,1,Luz
57,2,Media (6-8 anios)
58,1,Luz
58,2,Media (6-8 anios)
59,1,Sombra
59,2,Temprana (4-6 anios)
61,1,Luz
61,2,Media (6-8 anios)
62,1,Sombra
62,2,Tardia (8-10 anios)
63,1,Luz
63,2,Tardia (8-10 anios)
64,1,Luz
64,2,Tardia (8-10 anios)
65,1,Sombra
65,2,Media (6-8 anios)
66,1,Sombra
68,2,Media (6-8 anios)
72,1,Luz
73,2,Temprana (4-6 anios)
74,2,Tardia (8-10 anios)
75,1,Sombra
75,2,Tardia (8-10 anios)
76,1,Luz
76,2,Tardia (8-10 anios)
77,1,Luz
77,2,Temprana (4-6 anios)
78,1,Sombra
78,2,Media (6-8 anios)
79,1,Sombra
79,2,Media (6-8 anios)
81,1,Luz
81,2,Temprana (4-6 anios)
82,1,Sombra
82,2,Media (6-8 anios)
83,1,Luz
83,2,Media (6-8 anios)
84,1,Luz
84,2,Temprana (4-6 anios)
85,1,Sombra
85,2,Temprana (4-6 anios)
87,1,Luz
87,2,Media (6-8 anios)
88,1,Sombra
88,2,Media (6-8 anios)
89,1,Sombra
89,2,Tardia (8-10 anios)
90,1,Luz
90,2,Media (6-8 anios)
91,1,Sombra
91,2,Temprana (4-6 anios)
93,1,Sombra
93,2,Media (6-8 anios)
94,1,Luz
94,2,Temprana (4-6 anios)
95,1,Sombra
95,2,Temprana (4-6 anios)
96,1,Sombra
96,2,Temprana (4-6 anios)
97,1,Sombra
97,2,Tardia (8-10 anios)
99,1,Sombra
99,2,Tardia (8-10 anios)
100,1,Luz
100,2,Media (6-8 anios)
101,1,Sombra
101,2,Tardia (8-10 anios)
102,1,Luz
102,2,Tardia (8-10 anios)
104,2,Tardia (8-10 anios)
105,1,Sombra
106,2,Temprana (4-6 anios)
110,2,Media (6-8 anios)
111,1,Luz
116,1,Luz
117,2,Media (6-8 anios)
118,2,Tardia (8-10 anios)
121,1,Sombra
122,2,Temprana (4-6 anios)
123,1,Sombra
123,2,Temprana (4-6 anios)
124,1,Sombra
124,2,Tardia (8-10 anios)
125,1,Luz
125,2,Tardia (8-10 anios)
126,1,Luz
126,2,Media (6-8 anios)
127,1,Luz
127,2,Media (6-8 anios)
129,1,Sombra
129,2,Temprana (4-6 anios)
130,1,Luz
130,2,Tardia (8-10 anios)
131,1,Luz
131,2,Temprana (4-6 anios)
132,1,Sombra
132,2,Temprana (4-6 anios)
133,1,Luz
133,2,Tardia (8-10 anios)
135,1,Sombra
135,2,Media (6-8 anios)
136,1,Luz
136,2,Tardia (8-10 anios)
137,1,Luz
137,2,Temprana (4-6 anios)
138,1,Sombra
138,2,Temprana (4-6 anios)
139,1,Luz
139,2,Temprana (4-6 anios)
142,2,Media (6-8 anios)
143,2,Temprana (4-6 anios)
146,1,Luz
147,1,Sombra
148,2,Tardia (8-10 anios)
149,1,Luz
149,2,Temprana (4-6 anios)
150,1,Luz
150,2,Tardia (8-10 anios)
151,1,Sombra
151,2,Media (6-8 anios)
152,1,Sombra
152,2,Tardia (8-10 anios)
153,1,Luz
153,2,Temprana (4-6 anios)
155,1,Sombra
155,2,Tardia (8-10 anios)
156,1,Sombra
156,2,Media (6-8 anios)
157,1,Luz
157,2,Media (6-8 anios)
158,1,Luz
158,2,Media (6-8 anios)
159,1,Sombra
159,2,Temprana (4-6 anios)
161,1,Luz
161,2,Media (6-8 anios)
162,1,Sombra
162,2,Tardia (8-10 anios)
163,1,Luz
163,2,Tardia (8-10 anios)
164,1,Luz
164,2,Tardia (8-10 anios)
165,1,Sombra
165,2,Media (6-8 anios)
166,1,Sombra
168,2,Media (6-8 anios)
172,1,Luz
173,2,Temprana (4-6 anios)
174,2,Tardia (8-10 anios)
175,1,Sombra
175,2,Tardia (8-10 anios)
176,1,Luz
176,2,Tardia (8-10 anios)
177,1,Luz
177,2,Temprana (4-6 anios)
178,1,Sombra
178,2,Media (6-8 anios)
179,1,Sombra
179,2,Media (6-8 anios)
182,1,Luz
182,2,Temprana (4-6 anios)
183,1,Sombra
183,2,Media (6-8 anios)
184,1,Luz
184,2,Media (6-8 anios)
185,1,Luz
185,2,Temprana (4-6 anios)
186,1,Sombra
186,2,Temprana (4-6 anios)
188,1,Luz
188,2,Media (6-8 anios)
189,1,Sombra
189,2,Media (6-8 anios)
190,1,Sombra
190,2,Tardia (8-10 anios)
191,1,Luz
191,2,Media (6-8 anios)
192,1,Sombra
192,2,Temprana (4-6 anios)
194,1,Sombra
194,2,Media (6-8 anios)
195,1,Luz
195,2,Temprana (4-6 anios)
196,1,Sombra
196,2,Temprana (4-6 anios)
197,1,Sombra
197,2,Temprana (4-6 anios)
198,1,Sombra
198,2,Tardia (8-10 anios)
200,1,Sombra
200,2,Tardia (8-10 anios)
201,1,Luz
201,2,Media (6-8 anios)
