ID_MUESTRA,ID_MUESTRA_FISICA,ID_TIPO_MUESTRA,LOTE,ID_ESPECIE,ID_TIPO_CULTIVO,ID_PARTE_PLANTA,ID_UBICACION,EXPOSICION_LUZ,ESTADIO_MADUREZ,ID_METODO_EXTRACCION,ID_SOLVENTE,MODO_IONIZACION,ID_COLUMNA
MB_53_B-2_3_NEG,MB_53_B-2_3,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_02,Sombra,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
MB_54_C+2_2_NEG,MB_54_C+2_2,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_03,Luz,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
GC_4_B_NEG,GC_4_B,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_02,,,ME_01,SOL_01,NEG,COL_01
GC_4_2_NEG,GC_4_2,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
GC_4_-_NEG,GC_4_-,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,Sombra,,ME_01,SOL_01,NEG,COL_01
GC_4_0_NEG,GC_4_0,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,,Temprana (4-6 anios),ME_01,SOL_01,NEG,COL_01
GC_4_A_NEG,GC_4_A,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_01,,,ME_01,SOL_01,NEG,COL_01
GC_4_C_NEG,GC_4_C,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_03,,,ME_01,SOL_01,NEG,COL_01
POOLED_QC_13_NEG,POOLED_QC_13,TM_03,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_05,,,ME_01,SOL_01,NEG,COL_01
GC_4_1_NEG,GC_4_1,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,,Media (6-8 anios),ME_01,SOL_01,NEG,COL_01
GC_4_+_NEG,GC_4_+,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,Luz,,ME_01,SOL_01,NEG,COL_01
POOLED_QC_14_NEG,POOLED_QC_14,TM_03,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_05,,,ME_01,SOL_01,NEG,COL_01
POOLED_QC_1_NEG,POOLED_QC_1,TM_03,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_05,,,ME_01,SOL_01,NEG,COL_01
GC_1_A_NEG,GC_1_A,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_01,,,ME_01,SOL_01,NEG,COL_01
POOLED_QC_2_NEG,POOLED_QC_2,TM_03,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_05,,,ME_01,SOL_01,NEG,COL_01
GC_1_+_NEG,GC_1_+,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,Luz,,ME_01,SOL_01,NEG,COL_01
GC_1_1_NEG,GC_1_1,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,,Media (6-8 anios),ME_01,SOL_01,NEG,COL_01
GC_1_2_NEG,GC_1_2,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
GC_1_C_NEG,GC_1_C,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_03,,,ME_01,SOL_01,NEG,COL_01
GC_1_B_NEG,GC_1_B,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_02,,,ME_01,SOL_01,NEG,COL_01
GC_1_-_NEG,GC_1_-,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,Sombra,,ME_01,SOL_01,NEG,COL_01
GC_1_0_NEG,GC_1_0,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,,Temprana (4-6 anios),ME_01,SOL_01,NEG,COL_01
MB_1_C-0_1_NEG,MB_1_C-0_1,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_03,Sombra,Temprana (4-6 anios),ME_01,SOL_01,NEG,COL_01
MB_2_C-2_1_NEG,MB_2_C-2_1,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_03,Sombra,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
MB_3_A+2_1_NEG,MB_3_A+2_1,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_01,Luz,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
MB_4_B+1_2_NEG,MB_4_B+1_2,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_02,Luz,Media (6-8 anios),ME_01,SOL_01,NEG,COL_01
MB_5_A+1_1_NEG,MB_5_A+1_1,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_01,Luz,Media (6-8 anios),ME_01,SOL_01,NEG,COL_01
POOLED_QC_3_NEG,POOLED_QC_3,TM_03,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_05,,,ME_01,SOL_01,NEG,COL_01
MB_6_A-0_1_NEG,MB_6_A-0_1,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_01,Sombra,Temprana (4-6 anios),ME_01,SOL_01,NEG,COL_01
MB_7_C+2_3_NEG,MB_7_C+2_3,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_03,Luz,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
MB_8_B+0_2_NEG,MB_8_B+0_2,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_02,Luz,Temprana (4-6 anios),ME_01,SOL_01,NEG,COL_01
MB_9_C-0_2_NEG,MB_9_C-0_2,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_03,Sombra,Temprana (4-6 anios),ME_01,SOL_01,NEG,COL_01
MB_10_A+2_2_NEG,MB_10_A+2_2,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_01,Luz,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
POOLED_QC_4_NEG,POOLED_QC_4,TM_03,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_05,,,ME_01,SOL_01,NEG,COL_01
MB_11_A-1_1_NEG,MB_11_A-1_1,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_01,Sombra,Media (6-8 anios),ME_01,SOL_01,NEG,COL_01
MB_12_A+2_3_NEG,MB_12_A+2_3,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_01,Luz,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
MB_13_A+0_1_NEG,MB_13_A+0_1,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_01,Luz,Temprana (4-6 anios),ME_01,SOL_01,NEG,COL_01
MB_14_C-0_3_NEG,MB_14_C-0_3,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_03,Sombra,Temprana (4-6 anios),ME_01,SOL_01,NEG,COL_01
MB_15_B+0_3_NEG,MB_15_B+0_3,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_02,Luz,Temprana (4-6 anios),ME_01,SOL_01,NEG,COL_01
POOLED_QC_5_NEG,POOLED_QC_5,TM_03,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_05,,,ME_01,SOL_01,NEG,COL_01
GC_2_A_NEG,GC_2_A,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_01,,,ME_01,SOL_01,NEG,COL_01
GC_2_1_NEG,GC_2_1,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,,Media (6-8 anios),ME_01,SOL_01,NEG,COL_01
GC_2_0_NEG,GC_2_0,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,,Temprana (4-6 anios),ME_01,SOL_01,NEG,COL_01
GC_2_B_NEG,GC_2_B,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_02,,,ME_01,SOL_01,NEG,COL_01
GC_2_C_NEG,GC_2_C,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_03,,,ME_01,SOL_01,NEG,COL_01
GC_2_+_NEG,GC_2_+,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,Luz,,ME_01,SOL_01,NEG,COL_01
GC_2_-_NEG,GC_2_-,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,Sombra,,ME_01,SOL_01,NEG,COL_01
GC_2_2_NEG,GC_2_2,TM_04,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_04,,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
MB_16_A+0_2_NEG,MB_16_A+0_2,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_01,Luz,Temprana (4-6 anios),ME_01,SOL_01,NEG,COL_01
MB_17_B+2_3_NEG,MB_17_B+2_3,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_02,Luz,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
MB_18_A-1_2_NEG,MB_18_A-1_2,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_01,Sombra,Media (6-8 anios),ME_01,SOL_01,NEG,COL_01
MB_19_C-2_2_NEG,MB_19_C-2_2,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_03,Sombra,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
MB_20_C+0_1_NEG,MB_20_C+0_1,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_03,Luz,Temprana (4-6 anios),ME_01,SOL_01,NEG,COL_01
POOLED_QC_6_NEG,POOLED_QC_6,TM_03,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_05,,,ME_01,SOL_01,NEG,COL_01
MB_21_C-2_3_NEG,MB_21_C-2_3,TM_01,BATCH_01_NEG,ILEX_GUAYUSA,TC_01,PP_01,UBI_03,Sombra,Tardia (8-10 anios),ME_01,SOL_01,NEG,COL_01
