ID_ESPECIE,ID_ACTIVIDAD,ID_OBJETIVO,ID_METRICA,VALOR_NUMERICO,ID_UNIDAD,ID_CONDICION_ENSAYO,ID_REFERENCIA
ILEX_GUAYUSA,ACT_01,OBJ_01,MET_01,18,UN_01,CE_01,REF_01
ILEX_GUAYUSA,ACT_01,OBJ_02,MET_01,128,UN_01,CE_01,REF_01
ILEX_GUAYUSA,ACT_02,OBJ_03,MET_01,0.25,UN_01,CE_02,REF_01
ILEX_GUAYUSA,ACT_02,OBJ_04,MET_01,0.50-1.00,UN_01,,REF_01
ILEX_GUAYUSA,ACT_01,OBJ_05,MET_01,1,UN_01,CE_03,REF_02
ILEX_GUAYUSA,ACT_01,OBJ_05,MET_02,10.7-13.7,UN_02,CE_03,REF_02
ILEX_GUAYUSA,ACT_01,OBJ_06,MET_01,1,UN_01,CE_03,REF_02
ILEX_GUAYUSA,ACT_01,OBJ_06,MET_02,9.3-11.0,UN_02,CE_03,REF_02
ILEX_GUAYUSA,ACT_03,OBJ_07,MET_03,>5000,UN_03,CE_06,REF_03
ILEX_GUAYUSA,ACT_03,OBJ_08,MET_04,>10000,UN_04,CE_04,REF_03
ILEX_GUAYUSA,ACT_03,OBJ_08,MET_04,300,UN_04,CE_05,REF_03
ILEX_GUAYUSA,ACT_04,OBJ_09,MET_05,18.16-24.38,UN_05,CE_07,REF_04
ILEX_GUAYUSA,ACT_04,OBJ_09,MET_06,10.30-27.21,UN_05,CE_08,REF_04
ILEX_GUAYUSA,ACT_05,OBJ_10,MET_07,1.73-3.48,UN_05,CE_09,REF_05
