ID_METABOLITO,NOMBRE_METABOLITO,CLASE_QUIMICA,SUPERCLASE_QUIMICA,DESCRIPCION
1,Acetyl tributyl citrate,Carboxylic acids and derivatives,Organic acids and derivatives,
2,Caffeine,Imidazopyrimidines,Organoheterocyclic compounds,
3,Chlorogenic Acid,Organooxygen compounds,Organic oxygen compounds,
4,Chlorogenic Acid quinone,Organooxygen compounds,Organic oxygen compounds,
5,Hyperoside,Flavonoids,Phenylpropanoids and polyketides,
6,Kaempferol-3-O-glucoside,Flavonoids,Phenylpropanoids and polyketides,
7,Keracyanine,Flavonoids,Phenylpropanoids and polyketides,
8,Lauryl diethanolamide,Fatty Acyls,Lipids and lipid-like molecules,
9,Neochlorogenic Acid,Organooxygen compounds,Organic oxygen compounds,
10,Plantaginin,Flavonoids,Phenylpropanoids and polyketides,
11,Quinic acid,Organooxygen compounds,Organic oxygen compounds,
12,Rutin,Flavonoids,Phenylpropanoids and polyketides,
13,Sucrose,Organooxygen compounds,Organic oxygen compounds,
14,Theobromine,Imidazopyrimidines,Organoheterocyclic compounds,
15,Trehalose,Organooxygen compounds,Organic oxygen compounds,
16,Valerophenone,Organic oxygen compounds,Organic compounds,
